Conference,Name
Pacific West Conference,Chestnut Hill College
Central Atlantic Collegiate Conference,Chowan University
Conference Carolinas,Christian Brothers University
Gulf South Conference,Claflin University
Central Intercollegiate Athletic Association,Clark Atlanta University
Southern Intercol. Ath. Conf.,Clayton State University
Peach Belt Conference,Coker University
South Atlantic Conference,College of Staten Island
East Coast Conference,Colorado Christian University
Rocky Mountain Athletic Conference,Colorado Mesa University
Rocky Mountain Athletic Conference,Colorado School of Mines
Rocky Mountain Athletic Conference,Colorado State University Pueblo
Rocky Mountain Athletic Conference,Columbus State University
Peach Belt Conference,Concord University
Mountain East Conference,Concordia University Irvine
Pacific West Conference,"Concordia University, St. Paul"
Northern Sun Intercollegiate Conference,Converse University
Conference Carolinas,D'Youville University
East Coast Conference,Daemen University
East Coast Conference,Dallas Baptist University
Lone Star Conference,Davenport University
Great Lakes Intercollegiate Athletic Conference,Davis & Elkins College
Mountain East Conference,Delta State University
Gulf South Conference,Dominican University New York
Central Atlantic Collegiate Conference,Dominican University of California
Pacific West Conference,Drury University
Great Lakes Valley Conference,East Central University
Great American Conference,East Stroudsburg University of Pennsylvania
Pennsylvania State Athletic Conference,Eastern New Mexico University
Lone Star Conference,Eckerd College
Sunshine State Conference,Edward Waters University
Southern Intercol. Ath. Conf.,Elizabeth City State University
Central Intercollegiate Athletic Association,Embry-Riddle Aeronautical University (Florida)
Sunshine State Conference,Emmanuel University (Georgia)
Conference Carolinas,Emory & Henry College
South Atlantic Conference,Emporia State University
Mid-America Intercollegiate Athletics Association,Erskine College
Conference Carolinas,Fairmont State University
Mountain East Conference,Fayetteville State University
Central Intercollegiate Athletic Association,Felician University
Central Atlantic Collegiate Conference,Ferris State University
Great Lakes Intercollegiate Athletic Conference,Flagler College
Peach Belt Conference,Florida Institute of Technology
Sunshine State Conference,Florida Southern College
Sunshine State Conference,Fort Hays State University
Mid-America Intercollegiate Athletics Association,Fort Lewis College
Rocky Mountain Athletic Conference,Fort Valley State University
Southern Intercol. Ath. Conf.,Francis Marion University
Conference Carolinas,Franklin Pierce University
Northeast-10 Conference,Fresno Pacific University
Pacific West Conference,Frostburg State University
Mountain East Conference,Gannon University
Pennsylvania State Athletic Conference,Georgia College
Peach Belt Conference,Georgia Southwestern State University
Peach Belt Conference,Georgian Court University
Central Atlantic Collegiate Conference,Glenville State University
Mountain East Conference,Goldey-Beacom College
Central Atlantic Collegiate Conference,Grand Valley State University
Great Lakes Intercollegiate Athletic Conference,Harding University
Great American Conference,Hawaii Pacific University
Pacific West Conference,Henderson State University
Great American Conference,Hillsdale College
Great Midwest Athletic Conference,Holy Family University
Central Atlantic Collegiate Conference,Indiana University of Pennsylvania
Pennsylvania State Athletic Conference,Jessup University
Pacific West Conference,Johnson C. Smith University
Central Intercollegiate Athletic Association,Kentucky State University
Southern Intercol. Ath. Conf.,Kentucky Wesleyan College
Great Midwest Athletic Conference,King University
Conference Carolinas,Kutztown University of Pennsylvania
Pennsylvania State Athletic Conference,Lake Erie College
Great Midwest Athletic Conference,Lake Superior State University
Great Lakes Intercollegiate Athletic Conference,Lander University
Peach Belt Conference,Lane College
Southern Intercol. Ath. Conf.,Le Moyne College
Northeast Conference,Lee University
Gulf South Conference,Lees-McRae College
Conference Carolinas,LeMoyne-Owen College
Southern Intercol. Ath. Conf.,Lenoir-Rhyne University
South Atlantic Conference,Lewis University
Great Lakes Valley Conference,Limestone University
South Atlantic Conference,Lincoln Memorial University
South Atlantic Conference,Lincoln University (Missouri)
Mid-America Intercollegiate Athletics Association,Lincoln University (Pennsylvania)
Central Intercollegiate Athletic Association,Lindenwood University
Ohio Valley Conference,Livingstone College
Central Intercollegiate Athletic Association,Lock Haven University of Pennsylvania
Pennsylvania State Athletic Conference,Lubbock Christian University
Lone Star Conference,Lynn University
Sunshine State Conference,Malone University
Great Midwest Athletic Conference,Mansfield University of Pennsylvania
Pennsylvania State Athletic Conference,Mars Hill University
South Atlantic Conference,Maryville University of Saint Louis
Great Lakes Valley Conference,McKendree University
Great Lakes Valley Conference,Menlo College
Pacific West Conference,Mercy University
East Coast Conference,Mercyhurst University
Pennsylvania State Athletic Conference,Metropolitan State University of Denver
Rocky Mountain Athletic Conference,Michigan Technological University
Great Lakes Intercollegiate Athletic Conference,Midwestern State University
Lone Star Conference,Miles College
Southern Intercol. Ath. Conf.,Millersville University of Pennsylvania
Pennsylvania State Athletic Conference,Minnesota State University Moorhead
Northern Sun Intercollegiate Conference,"Minnesota State University, Mankato"
Northern Sun Intercollegiate Conference,Minot State University
Northern Sun Intercollegiate Conference,Mississippi College
Gulf South Conference,Missouri Southern State University
Mid-America Intercollegiate Athletics Association,Missouri University of Science and Technology
Great Lakes Valley Conference,Missouri Western State University
Mid-America Intercollegiate Athletics Association,Molloy University
East Coast Conference,Montana State University Billings
Great Northwest Athletic Conference,Morehouse College
Southern Intercol. Ath. Conf.,New Mexico Highlands University
Rocky Mountain Athletic Conference,Newberry College
South Atlantic Conference,Newman University
Mid-America Intercollegiate Athletics Association,North Greenville University
Conference Carolinas,Northeastern State University
Mid-America Intercollegiate Athletics Association,Northern Michigan University
Great Lakes Intercollegiate Athletic Conference,Northern State University
Northern Sun Intercollegiate Conference,Northwest Missouri State University
Mid-America Intercollegiate Athletics Association,Northwest Nazarene University
Great Northwest Athletic Conference,Northwestern Oklahoma State University
Great American Conference,Northwood University
Great Midwest Athletic Conference,Notre Dame College (Ohio)
Mountain East Conference,Nova Southeastern University
Sunshine State Conference,Ohio Dominican University
Great Midwest Athletic Conference,Oklahoma Baptist University
Great American Conference,Oklahoma Christian University
Lone Star Conference,Ouachita Baptist University
Great American Conference,Pace University
Northeast-10 Conference,Palm Beach Atlantic University
Sunshine State Conference,"Pennsylvania Western University, California"
Pennsylvania State Athletic Conference,"Pennsylvania Western University, Clarion"
Pennsylvania State Athletic Conference,"Pennsylvania Western University, Edinboro"
Pennsylvania State Athletic Conference,Pittsburg State University
Mid-America Intercollegiate Athletics Association,Point Loma Nazarene University
Pacific West Conference,Post University
Central Atlantic Collegiate Conference,Purdue University Northwest
Great Lakes Intercollegiate Athletic Conference,Queens College (New York)
East Coast Conference,Queens University of Charlotte
Atlantic Sun Conference,Quincy University
Great Lakes Valley Conference,Regis University (Colorado)
Rocky Mountain Athletic Conference,Roberts Wesleyan University
East Coast Conference,Rockhurst University
Great Lakes Valley Conference,Rogers State University
Mid-America Intercollegiate Athletics Association,Rollins College
Sunshine State Conference,Roosevelt University
Great Lakes Intercollegiate Athletic Conference,Saginaw Valley State University
Great Lakes Intercollegiate Athletic Conference,Saint Anselm College
Northeast-10 Conference,Saint Augustine's University
Central Intercollegiate Athletic Association,Saint Leo University
Sunshine State Conference,Saint Martin's University
Great Northwest Athletic Conference,Saint Michael's College
Northeast-10 Conference,Salem University (West Virginia)
,San Francisco State University
California Collegiate Athletic Association,Savannah State University
Southern Intercol. Ath. Conf.,Seattle Pacific University
Great Northwest Athletic Conference,Seton Hill University
Pennsylvania State Athletic Conference,Shaw University
Central Intercollegiate Athletic Association,Shepherd University
Pennsylvania State Athletic Conference,Shippensburg University of Pennsylvania
Pennsylvania State Athletic Conference,Shorter University
Gulf South Conference,Simon Fraser University
Great Northwest Athletic Conference,Slippery Rock University of Pennsylvania
Pennsylvania State Athletic Conference,Sonoma State University
California Collegiate Athletic Association,South Dakota School of Mines & Technology
Rocky Mountain Athletic Conference,Southeastern Oklahoma State University
Great American Conference,Southern Arkansas University
Great American Conference,Southern Connecticut State University
Northeast-10 Conference,Southern Nazarene University
Great American Conference,Southern New Hampshire University
Northeast-10 Conference,Southern Wesleyan University
Conference Carolinas,Southwest Baptist University
Great Lakes Valley Conference,Southwest Minnesota State University
Northern Sun Intercollegiate Conference,Southwestern Oklahoma State University
Great American Conference,Spring Hill College
Southern Intercol. Ath. Conf.,St. Cloud State University
Northern Sun Intercollegiate Conference,St. Edward's University
Lone Star Conference,St. Mary's University (Texas)
Lone Star Conference,St. Thomas Aquinas College
East Coast Conference,Stonehill College
Northeast Conference,Sul Ross State University
American Southwest Conference,Tarleton State University
Western Athletic Conference,Texas A&M International University
Lone Star Conference,Texas A&M University-Commerce
Southland Conference,Texas A&M University-Kingsville
Lone Star Conference,Texas Woman's University
Lone Star Conference,The College of Saint Rose
Northeast-10 Conference,The University of Texas at Tyler
Lone Star Conference,The University of Virginia's College at Wise
South Atlantic Conference,Thomas Jefferson University
Central Atlantic Collegiate Conference,Thomas More University
Great Midwest Athletic Conference,Tiffin University
Great Midwest Athletic Conference,Trevecca Nazarene University
Great Midwest Athletic Conference,Truman State University
Great Lakes Valley Conference,Tusculum University
South Atlantic Conference,Tuskegee University
Southern Intercol. Ath. Conf.,Union University
Gulf South Conference,University of Alabama in Huntsville
Gulf South Conference,University of Alaska Anchorage
Great Northwest Athletic Conference,University of Alaska Fairbanks
Great Northwest Athletic Conference,"University of Arkansas, Fort Smith"
Lone Star Conference,"University of Arkansas, Monticello"
Great American Conference,University of Bridgeport
Central Atlantic Collegiate Conference,"University of California, San Diego"
Big West Conference,University of Central Missouri
Mid-America Intercollegiate Athletics Association,University of Central Oklahoma
Mid-America Intercollegiate Athletics Association,University of Charleston (West Virginia)
Mountain East Conference,"University of Colorado, Colorado Springs"
Rocky Mountain Athletic Conference,University of Findlay
Great Midwest Athletic Conference,University of Hawaii at Hilo
Pacific West Conference,University of Illinois Springfield
Great Lakes Valley Conference,University of Indianapolis
Great Lakes Valley Conference,University of Mary
Northern Sun Intercollegiate Conference,University of Minnesota Duluth
Northern Sun Intercollegiate Conference,"University of Minnesota, Crookston"
Northern Sun Intercollegiate Conference,University of Missouri-St. Louis
Great Lakes Valley Conference,University of Montevallo
Gulf South Conference,University of Mount Olive
Conference Carolinas,University of Nebraska at Kearney
Mid-America Intercollegiate Athletics Association,University of New Haven
Northeast-10 Conference,University of North Carolina at Pembroke
Conference Carolinas,University of North Georgia
Peach Belt Conference,"University of Pittsburgh, Johnstown"
Pennsylvania State Athletic Conference,"University of Puerto Rico, Bayamon"
,"University of Puerto Rico, Mayaguez"
,"University of Puerto Rico, Rio Piedras"
,University of Sioux Falls
Northern Sun Intercollegiate Conference,University of South Carolina Aiken
Peach Belt Conference,University of South Carolina Beaufort
Peach Belt Conference,University of Southern Indiana
Ohio Valley Conference,University of Tampa
Sunshine State Conference,University of Texas Permian Basin
Lone Star Conference,University of the District of Columbia
East Coast Conference,University of West Alabama
Gulf South Conference,University of West Florida
Gulf South Conference,University of West Georgia
Gulf South Conference,University of Wisconsin-Parkside
Great Lakes Intercollegiate Athletic Conference,Upper Iowa University
Great Lakes Valley Conference,Ursuline College
Great Midwest Athletic Conference,Utah Tech University
Western Athletic Conference,Valdosta State University
Gulf South Conference,Vanguard University
Pacific West Conference,Virginia State University
Central Intercollegiate Athletic Association,Virginia Union University
Central Intercollegiate Athletic Association,Walsh University
Great Midwest Athletic Conference,Washburn University
Mid-America Intercollegiate Athletics Association,Wayne State College (Nebraska)
Northern Sun Intercollegiate Conference,Wayne State University (Michigan)
Great Lakes Intercollegiate Athletic Conference,West Chester University of Pennsylvania
Pennsylvania State Athletic Conference,West Liberty University
Mountain East Conference,West Texas A&M University
Lone Star Conference,West Virginia State University
Mountain East Conference,West Virginia Wesleyan College
Mountain East Conference,Western Colorado University
Rocky Mountain Athletic Conference,Western New Mexico University
Lone Star Conference,Western Oregon University
Great Northwest Athletic Conference,Western Washington University
Great Northwest Athletic Conference,Westminster University (Utah)
Rocky Mountain Athletic Conference,Westmont College
Pacific West Conference,Wheeling University
Mountain East Conference,William Jewell College
Great Lakes Valley Conference,Wilmington University (Delaware)
Central Atlantic Collegiate Conference,Wingate University
South Atlantic Conference,Winona State University
Northern Sun Intercollegiate Conference,Winston-Salem State University
Central Intercollegiate Athletic Association,Young Harris College
